| Полное название теста       | Тип теста       | Параметр         | Всего тестов | Успешных тестов | Неуспешных тестов |
|-----------------------------|-----------------|------------------|--------------|-----------------|-------------------|
| .MP4CPL,                    | TEST STATICS    | 164              | 7            | 5               | 2                 |
| .MP4CPL,                    | TEST STATICS    | 172              | 7            | 5               | 2                 |
| .MP4CPL,                    | TEST STATICS    | 230              | 7            | 5               | 2                 |
| .MP4CPL,                    | TEST STATICS    | 116              | 7            | 6               | 1                 |
| .MP4CPL,                    | TEST STATICS    | 120              | 7            | 6               | 1                 |
| .MP4CPL,                    | TEST STATICS    | 126              | 7            | 6               | 1                 |
| .MP4CPL,                    | TEST STATICS    | 130              | 7            | 6               | 1                 |
| .MP4CPL,                    | TEST STATICS    | 132              | 7            | 6               | 1                 |
| .MP4CPL,                    | TEST STATICS    | 160              | 7            | 6               | 1                 |
| .MP4CPL,                    | TEST STATICS    | 166              | 7            | 6               | 1                 |
| .MP4CPL,                    | TEST STATICS    | 174              | 7            | 6               | 1                 |
| .MP4CPL,                    | TEST STATICS    | 178              | 7            | 6               | 1                 |
| .MP4CPL,                    | TEST STATICS    | 218              | 7            | 6               | 1                 |
| .MP4CPL,                    | TEST STATICS    | 220              | 7            | 6               | 1                 |
| .MP4CPL,                    | TEST STATICS    | 222              | 7            | 6               | 1                 |
| .MP4CPL,                    | TEST STATICS    | 224              | 7            | 6               | 1                 |
| .MP4CPL,                    | TEST STATICS    | 226              | 7            | 6               | 1                 |
| .MP4CPL,                    | TEST STATICS    | 234              | 7            | 6               | 1                 |
| .MP4CPL,                    | TEST CONTACT    | 1                | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST CONTACT    | 3                | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST CONTACT    | 5                | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST CONTACT    | 7                | 7            | 7               | 0                 |
| .MP4CPL,                    | TEST CONTACT    | 9                | 7            | 7               | 0                 |
